region,year,iso_reported_total_gwh,source_title,source_url,source_location,source_note
ISO-NE,2024,108599,ISO New England 2024 Air Emissions Report,https://www.iso-ne.com/static-assets/documents/100028/final-2024-air-emission-report.pdf,Figure 1-1 and accompanying text,ISO New England reports 108599 GWh of regional generation in 2024.
NYISO,2024,131052,NYISO 2025 Power Trends,https://www.nyiso.com/documents/20142/2223020/2025-Power-Trends.pdf/,Figure 23,NYISO reports 131052 GWh of NYCA energy production in 2024.
