panel_id,utility_id_eia,display_name,state,year,ownership,reporting_standard,reliability_customers,routine_saidi_minutes,included_primary_model,reliability_row_status,analysis_excluded_fields,eia_source_file_url
MTC_ME_CMP,3266,Central Maine Power,ME,2024,MTC,ieee_standard,679726.0,215.4,True,reported,,https://www.eia.gov/electricity/data/eia861/zip/f8612024.zip
COOP_MA_CHICOPEE,3477,Chicopee Electric Light,MA,2013,COOP,ieee_standard,25699.0,,False,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612013.zip
COOP_MA_CHICOPEE,3477,Chicopee Electric Light,MA,2014,COOP,ieee_standard,25750.0,,False,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612014.zip
COOP_MA_CHICOPEE,3477,Chicopee Electric Light,MA,2015,COOP,ieee_standard,26013.0,,False,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612015.zip
COOP_MA_CHICOPEE,3477,Chicopee Electric Light,MA,2016,COOP,ieee_standard,26308.0,,False,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612016.zip
COOP_MA_CHICOPEE,3477,Chicopee Electric Light,MA,2017,COOP,ieee_standard,26375.0,,False,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612017.zip
COOP_MA_CHICOPEE,3477,Chicopee Electric Light,MA,2018,COOP,ieee_standard,26219.0,,False,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612018.zip
COOP_MA_CHICOPEE,3477,Chicopee Electric Light,MA,2019,COOP,ieee_standard,25914.0,,False,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612019.zip
COOP_MA_CHICOPEE,3477,Chicopee Electric Light,MA,2020,COOP,ieee_standard,25982.0,,False,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612020.zip
COOP_MA_CHICOPEE,3477,Chicopee Electric Light,MA,2021,COOP,ieee_standard,26019.0,,False,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612021.zip
