panel_id,utility_id_eia,utility_name_eia,display_name,state,ownership_2024,eia_entity_type,residential_customers_2024,ultimate_parent_or_owner_2024,parent_country_or_level,ownership_history_note,ownership_source_url,selection_rule,pudl_source_url
COOP_MA_READING,15748,Town of Reading - (MA),Reading Municipal Light Department,MA,COOP,Municipal,27405,Town of Reading,Local municipal,COOP throughout the proposed panel,https://www.mass.gov/info-details/massachusetts-municipally-owned-electric-companies,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_MA_FITCHBURG,6374,Fitchburg Gas & Elec Light Co,Fitchburg Gas & Electric Light,MA,DOM,Investor Owned,26290,Unitil Corporation,United States,DOM throughout the proposed panel,https://unitil.com/electric-gas-service/pricing-rates/rates/ferc-oatt-information/transmission-service-information-ma,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_CHICOPEE,3477,City of Chicopee - (MA),Chicopee Electric Light,MA,COOP,Municipal,23218,City of Chicopee,Local municipal,COOP throughout the proposed panel,https://www.celd.com/about,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_PEABODY,14605,City of Peabody - (MA),Peabody Municipal Light Plant,MA,COOP,Municipal,22546,City of Peabody,Local municipal,COOP throughout the proposed panel,https://www.pmlp.com/27/About-Us,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_CT_WALLINGFORD,20038,Town of Wallingford - (CT),Wallingford Electric Division,CT,COOP,Municipal,21405,Town of Wallingford,Local municipal,COOP throughout the proposed panel,https://www.wallingfordct.gov/government/departments/public-utilities/,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_CT_NORWICH,13831,City of Norwich - (CT),Norwich Public Utilities,CT,COOP,Municipal,18870,City of Norwich,Local municipal,COOP throughout the proposed panel,https://www.norwichct.gov/272/Public-Utilities,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_VT_BURLINGTON,2548,City of Burlington Electric - (VT),Burlington Electric Department,VT,COOP,Municipal,17861,City of Burlington,Local municipal,COOP throughout the proposed panel,https://www.burlingtonelectric.com/history,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_NY_FAIRPORT,5930,Village of Fairport - (NY),Fairport Municipal Commission,NY,COOP,Municipal,16462,Village of Fairport,Local municipal,COOP throughout the proposed panel,https://dps.ny.gov/location/village-fairport-electric,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_20481,20481,City of Westfield - (MA),City of Westfield - (MA),MA,COOP,Municipal,16200,Local municipal ownership,Local/non-shareholder,Classified as local non-shareholder ownership; annual EIA ownership labels are validated while building the panel,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_17127,17127,Town of Shrewsbury - (MA),Town of Shrewsbury - (MA),MA,COOP,Municipal,15713,Local municipal ownership,Local/non-shareholder,Classified as local non-shareholder ownership; annual EIA ownership labels are validated while building the panel,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_NY_9645,9645,Jamestown Board of Public Util,Jamestown Board of Public Util,NY,COOP,Municipal,15562,Local municipal ownership,Local/non-shareholder,Classified as local non-shareholder ownership; annual EIA ownership labels are validated while building the panel,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_8774,8774,City of Holyoke - (MA),City of Holyoke - (MA),MA,COOP,Municipal,15040,Local municipal ownership,Local/non-shareholder,Classified as local non-shareholder ownership; annual EIA ownership labels are validated while building the panel,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_12473,12473,Town of Middleborough - (MA),Town of Middleborough - (MA),MA,COOP,Municipal,14884,Local municipal ownership,Local/non-shareholder,Classified as local non-shareholder ownership; annual EIA ownership labels are validated while building the panel,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_2144,2144,Town of Braintree - (MA),Town of Braintree - (MA),MA,COOP,Municipal,14039,Local municipal ownership,Local/non-shareholder,Classified as local non-shareholder ownership; annual EIA ownership labels are validated while building the panel,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_13839,13839,City of Norwood - (MA),City of Norwood - (MA),MA,COOP,Municipal,13601,Local municipal ownership,Local/non-shareholder,Classified as local non-shareholder ownership; annual EIA ownership labels are validated while building the panel,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_NY_6775,6775,Village of Freeport - (NY),Village of Freeport - (NY),NY,COOP,Municipal,13353,Local municipal ownership,Local/non-shareholder,Classified as local non-shareholder ownership; annual EIA ownership labels are validated while building the panel,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
MTC_MA_NANTUCKET,13206,Nantucket Electric Co,Nantucket Electric,MA,MTC,Investor Owned,12823,National Grid plc,United Kingdom,MTC throughout 2013-2024 under National Grid plc,https://www.nationalgridus.com/News/2023/11/National-Grid-Submits-Comprehensive-Performance-Investment-Plan-as-Part-of-Rate-Review-to-Build-a-Smarter%2C-Stronger%2C-Cleaner%2C-and-More-Equitable-Energy-Future/,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_13679,13679,Town of North Attleborough - (MA),Town of North Attleborough - (MA),MA,COOP,Municipal,12607,Local municipal ownership,Local/non-shareholder,Classified as local non-shareholder ownership; annual EIA ownership labels are validated while building the panel,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_CT_7716,7716,Groton Dept of Utilities - (CT),Groton Dept of Utilities - (CT),CT,COOP,Municipal,12284,Local municipal ownership,Local/non-shareholder,Classified as local non-shareholder ownership; annual EIA ownership labels are validated while building the panel,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_5480,5480,Town of Danvers,Town of Danvers,MA,COOP,Municipal,11594,Local municipal ownership,Local/non-shareholder,Classified as local non-shareholder ownership; annual EIA ownership labels are validated while building the panel,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_8973,8973,Town of Hudson - (MA),Town of Hudson - (MA),MA,COOP,Municipal,11448,Local municipal ownership,Local/non-shareholder,Classified as local non-shareholder ownership; annual EIA ownership labels are validated while building the panel,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_ME_5609,5609,Eastern Maine Electric Coop,Eastern Maine Electric Coop,ME,COOP,Cooperative,10803,Local cooperative ownership,Local/non-shareholder,Classified as local non-shareholder ownership; annual EIA ownership labels are validated while building the panel,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet,"At least 10,000 residential customers in the 2024 regional EIA/PUDL roster",https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
